ID,Title,Medium,Date,text,Height (cm),Width (cm),Depth (cm),Diameter (cm),Artist,URL,Name,Gender,BeginDate,EndDate,Nationality 
4d8b92eb4eb68a1b2c000968,Der Kuss (The Kiss),Oil and gold leaf on canvas,1907-1908,180.1 × 180.1 cm,180.1,180.1,,,https://api.artsy.net/api/artists?artwork_id=4d8b92eb4eb68a1b2c000968,https://d32dm0rphc51dk.cloudfront.net/NOpIAwQa-3r51Cg9qXKbfA/medium.jpg, , , , , 
4d8b92ee4eb68a1b2c0009ab,The Third of May,Oil on canvas,1814,266.2 × 345.2 cm,266.2,345.2,,,https://api.artsy.net/api/artists?artwork_id=4d8b92ee4eb68a1b2c0009ab,https://d32dm0rphc51dk.cloudfront.net/m4X41Fun8gpDjn7Gat9cUg/medium.jpg,Pierre-Michel Alix after Jean-François Garnerey after Louis Michel Van Loo,male,,,
4d8b93394eb68a1b2c0010fa,The Company of Frans Banning Cocq and Willem van Ruytenburch (The Night Watch),Oil on canvas,1642,363.2 × 437.4 cm,363.2,437.4,,,https://api.artsy.net/api/artists?artwork_id=4d8b93394eb68a1b2c0010fa,https://d32dm0rphc51dk.cloudfront.net/IG8ZLvVmZgQiTn2zK0Bp8w/medium.jpg,John Jones after Thomas Beach,male,,,
4d8b937c4eb68a1b2c001722,Mona Lisa,Oil on poplar,ca. 1503-1506,77 × 53.1 cm,77.0,53.1,,,https://api.artsy.net/api/artists?artwork_id=4d8b937c4eb68a1b2c001722,https://d32dm0rphc51dk.cloudfront.net/5L1xjKC_und1uiKCpUPHhw/medium.jpg,Thérèse-Éléonore Lingée after Louis Rolland Trinquesse,,,,
4d8b93b04eb68a1b2c001b9d,Luncheon on the Grass (Le Déjeuner sur l'herbe),Oil on canvas,1863,208.3 × 264.2 cm,208.3,264.2,,,https://api.artsy.net/api/artists?artwork_id=4d8b93b04eb68a1b2c001b9d,https://d32dm0rphc51dk.cloudfront.net/zFA7cwdkWxbIrmuAAd21VA/medium.jpg,Hans Baldung,male,1484 or 1485,1545,German
4eaeecc3d2a5820001006e93,The Birth of Venus,Tempera on canvas,ca. 1486,172.7 × 278.6 cm,172.7,278.6,,,https://api.artsy.net/api/artists?artwork_id=4eaeecc3d2a5820001006e93,https://d32dm0rphc51dk.cloudfront.net/2VgTXzq3A2p5vTxxosS4zg/medium.jpg,Geraud Vidal after P. Davesne,male,,,
4eaeedd66899c800010066ac,The Birth of Venus,Oil on canvas,1863,130 × 225.3 cm,130.0,225.3,,,https://api.artsy.net/api/artists?artwork_id=4eaeedd66899c800010066ac,https://d32dm0rphc51dk.cloudfront.net/79EkzLz-LMtBTfnd7ae4WA/medium.jpg,"Hans Weiditz, II and Ulrich von Hutten (author)",male,,,
4eaef38fec5cf6000100a3f9,The Calling of St Matthew,Oil on canvas,1599-1600,322.3 × 340.4 cm,322.3,340.4,,,https://api.artsy.net/api/artists?artwork_id=4eaef38fec5cf6000100a3f9,https://d32dm0rphc51dk.cloudfront.net/rqoQ0ln0TqFAf7GcVwBtTw/medium.jpg,Johann Christoph Dietzsch,male,,,
4eaefa6c76e78f0001009d40,The Burial At Ornans,Oil on canvas,1849-1850,315.2 × 660.4 cm,315.2,660.4,,,https://api.artsy.net/api/artists?artwork_id=4eaefa6c76e78f0001009d40,https://d32dm0rphc51dk.cloudfront.net/RXCPBByq2cmCpXfAM3g-HQ/medium.jpg,Willem van der Leeuw after Sir Peter Paul Rubens,male,,,
4eaefc4976e78f0001009e86,The Last Supper,"Tempera on gesso, pitch and mastic",1495-1498,460.2 × 880.6 cm,460.2,880.6,,,https://api.artsy.net/api/artists?artwork_id=4eaefc4976e78f0001009e86,https://d32dm0rphc51dk.cloudfront.net/jI0TpkGaAoJ9JL4s4JPdBg/medium.jpg,Gasparo Mola,male,,,
4eaefdd86899c800010081e1,Virgin of the Rocks,"Wood, transferred to canvas in 1806 by Hacquin",ca. 1483-1486,199 × 122 cm,199.0,122.0,,,https://api.artsy.net/api/artists?artwork_id=4eaefdd86899c800010081e1,https://d32dm0rphc51dk.cloudfront.net/Jv-e1fhDjg61OYhhsMoiQg/medium.jpg,Israhel van Meckenem after Master W with the Key,male,,,
4eaf0a1476e78f000100badb,La mort de Sardanapale (Death of Sardanapalus),Oil on canvas,1827,392.2 × 496.3 cm,392.2,496.3,,,https://api.artsy.net/api/artists?artwork_id=4eaf0a1476e78f000100badb,https://d32dm0rphc51dk.cloudfront.net/M1KVVn7IkF4AUTHSctJdQg/medium.jpg,Nicolò Ricciolini,male,,,
